BugID,Plausible,Correct,Time (min.),Crank,#Tested Patch
Chart_13_e0,TRUE,FALSE,6.43,3,11
Chart_15_e0,TRUE,FALSE,19.57,41,129
Chart_20_e0,TRUE,TRUE,7.17,2,11
Chart_24_e0,TRUE,TRUE,11.43,158,121
Chart_4_e0,TRUE,TRUE,9.73,106,14
Chart_5_e0,TRUE,FALSE,1.55,2,2
Chart_7_e0,TRUE,FALSE,0.76,7,2
Chart_8_e0,TRUE,TRUE,0.78,3,1
Chart_9_e0,TRUE,FALSE,115.65,58,1280
Closure_109_e0,TRUE,FALSE,31.8,49,185
Closure_10_e0,TRUE,FALSE,5.36,5,8
Closure_111_e0,TRUE,FALSE,13.04,145,134
Closure_115_e0,TRUE,FALSE,5.18,2,1
Closure_122_e0,TRUE,FALSE,53.82,22,376
Closure_126_e0,TRUE,TRUE,5.27,6,7
Closure_12_e0,TRUE,FALSE,21.32,25,138
Closure_14_e0,TRUE,TRUE,18.84,46,108
Closure_20_e0,TRUE,TRUE,4.25,8,6
Closure_42_e0,TRUE,FALSE,25.77,31,199
Closure_58_e0,TRUE,FALSE,96.14,3,741
Closure_62_e0,TRUE,FALSE,21.8,4,194
Closure_63_e0,TRUE,FALSE,21.9,4,198
Closure_68_e0,TRUE,FALSE,1.81,1,1
Closure_73_e0,TRUE,TRUE,65.18,7,738
Closure_7_e0,TRUE,FALSE,12.78,140,113
Closure_9_e0,TRUE,FALSE,38.46,46,530
Lang_13_e0,TRUE,FALSE,4.82,8,22
Lang_16_e0,TRUE,TRUE,3.65,5,3
Lang_17_e0,TRUE,TRUE,116.12,2,908
Lang_21_e0,TRUE,TRUE,1.01,8,7
Lang_22_e0,TRUE,TRUE,48.04,8,371
Lang_24_e0,TRUE,TRUE,66.94,3,478
Lang_27_e0,TRUE,FALSE,3.69,2,5
Lang_33_e0,TRUE,TRUE,0.92,2,2
Lang_38_e0,TRUE,TRUE,23.11,2,143
Lang_39_e0,TRUE,TRUE,3.01,2,2
Lang_40_e0,TRUE,TRUE,16.97,31,231
Lang_43_e0,TRUE,TRUE,3.18,2,2
Lang_44_e0,TRUE,FALSE,5.2,16,56
Lang_45_e0,TRUE,TRUE,2.42,3,6
Lang_49_e0,TRUE,TRUE,0.79,2,1
Lang_51_e0,TRUE,FALSE,2.48,11,60
Lang_52_e0,TRUE,TRUE,8.11,16,63
Lang_53_e0,TRUE,FALSE,3.81,35,24
Lang_54_e0,TRUE,TRUE,1.63,6,6
Lang_55_e0,TRUE,TRUE,13.51,6,166
Lang_58_e0,TRUE,FALSE,3.6,4,2
Lang_63_e0,TRUE,FALSE,34.85,4,50
Lang_65_e0,TRUE,FALSE,13.08,33,73
Lang_6_e0,TRUE,FALSE,19.07,6,46
Lang_7_e0,TRUE,FALSE,49.68,6,267
Math_100_e0,TRUE,FALSE,19.9,2,173
Math_106_e0,TRUE,TRUE,9.06,6,128
Math_11_e0,TRUE,TRUE,18.11,73,128
Math_20_e0,TRUE,FALSE,43.07,1,194
Math_25_e0,TRUE,TRUE,2.93,6,13
Math_28_e0,TRUE,FALSE,106.22,7,120
Math_2_e0,TRUE,FALSE,6.46,20,37
Math_30_e0,TRUE,FALSE,90.84,5,910
Math_33_e0,TRUE,FALSE,46.74,2,98
Math_39_e0,TRUE,FALSE,28.34,15,86
Math_41_e0,TRUE,TRUE,70.97,10,846
Math_49_e0,TRUE,FALSE,73.5,7,438
Math_50_e0,TRUE,FALSE,3.05,6,10
Math_53_e0,TRUE,TRUE,1.15,1,2
Math_57_e0,TRUE,TRUE,6.47,11,1
Math_58_e0,TRUE,TRUE,87.31,2,253
Math_59_e0,TRUE,TRUE,11.26,24,62
Math_5_e0,TRUE,FALSE,56.76,9,466
Math_60_e0,TRUE,FALSE,4.87,72,27
Math_63_e0,TRUE,FALSE,1.68,30,18
Math_65_e0,TRUE,FALSE,5.95,2,66
Math_69_e0,TRUE,TRUE,118.45,2,1754
Math_70_e0,TRUE,TRUE,7.95,2,57
Math_73_e0,TRUE,FALSE,2.67,27,16
Math_75_e0,TRUE,TRUE,0.85,11,3
Math_78_e0,TRUE,FALSE,79.84,10,1104
Math_79_e0,TRUE,TRUE,96.51,4,64
Math_81_e0,TRUE,FALSE,0.71,1,4
Math_85_e0,TRUE,TRUE,8.95,6,55
Math_8_e0,TRUE,FALSE,3.41,32,5
Math_94_e0,TRUE,FALSE,0.95,2,7
Math_95_e0,TRUE,FALSE,66.88,5,140
Math_9_e0,TRUE,FALSE,13.84,189,58
Time_11_e0,TRUE,FALSE,12.19,17,64
Time_14_e0,TRUE,FALSE,29.99,29,81
Time_15_e0,TRUE,FALSE,7.82,6,65
Time_2_e0,TRUE,FALSE,23.95,181,54
Time_4_e0,TRUE,FALSE,1.55,6,2
